title,url,scraped_at,published,content,tags
"""พีช"" คุกเข่าเก้อ วืดขอโทษลูกคู่กรณี ""กัน จอมพลัง"" ดึงตัวฉากหนี โวยลั่น มัดมือชก (คลิป)",https://www.thairath.co.th/news/local/2853855,2025-04-20T19:59:36.131842,N/A,"""พีช"" ย่องกลางดึกเข้ารับทราบข้อกล่าวหาที่ สภ.ลำลูกกา ตำรวจแจ้ง 4 ข้อหาแล้วปล่อยตัวชั่วคราว พร้อมยึดรถบีเอ็มดับเบิลยูมาตรวจสอบที่โรงพัก ผบ.ตร.สั่งตำรวจไปดูแลผู้บาดเจ็บ ขณะที่กัน จอมพลัง พาลูกลุงป้าคู่กรณีมาเจรจาเยียวยาและรับการขอโทษ จังหวะพีชถือพวงมาลัยนั่งคุกเข่าแต่กลับวืด กันดึงตัวลูกสาวออกระบุทำอย่างนี้ก็มัดมือชก ส่วนพีชน้ำตาคลอยืนยันผิดไปแล้วเรื่องลุกลามถึงพ่อแม่ วอนสังคมหยุดด่า",
จับบิ๊กไชน่า สร้างตึกสตง. ล่าอีก 3 นอมินีคนไทย ศาลออกหมายฟัน 2 ข้อหา,https://www.thairath.co.th/news/local/2853854,2025-04-20T19:59:36.580444,N/A,ดีเอสไอบุกจับ “ชวน หลิง จาง” กก.บ.ไชน่าฯ คดีนอมินี คาโรงแรมรัชดา หลังศาลอาญาอนุมัติหมายจับ 4 ผู้ต้องหา ยังเหลืออีก 3 เป็นคนไทยมีชื่อเป็นหุ้นส่วนปรากฏในบริษัท ยังอยู่ระหว่างตามจับกุม หนุ่มแรงงานพม่าเข้ารับข้าวของส่วนตัวที่กู้ภัยเก็บไว้ ก่อนเล่านาทีระทึกอยู่บนชั้น 29 กับเพื่อนอีก 14 คน ก่อนตึก สตง.ถล่มลงเป็นรูปตัววีร่างไถลมากับซากปูนก่อนจะมุดออกจากซากตึกรอดตายเหลือเชื่อ “ชัชชาติ” ยันไม่มีเกาเหลาทีมสอบสวน แจงให้ความร่วมมือดี ส่วนยอดผู้เสียชีวิตเพิ่มเป็น 47 ราย และยังค้นหาอีก 47 ราย อาลัย “เสธ.เหยี่ยว-พ.อ.พิฆราช สุริยะ” ทีมจิตอาสา 904 ตึก สตง.ถล่ม ประสบอุบัติเหตุเสียชีวิตขณะขี่รถจยย.ไปที่พื้นที่ปฏิบัติงาน ถึงหน้า รพ.สงฆ์หักหลบไรเดอร์ที่เปลี่ยนเลนกะทันหันจนชนขอบฟุตปาทล้มศีรษะกระแทกพื้น เผยเจ้าตัวเข้าปฏิบัติหน้าที่ช่วยเหลือตั้งแต่เหตุเกิดวันแรก ผบ.ทบ.เศร้าเสียบุคลากรดีเด่น พ่อแม่ลูกเมียเดินทางรับศพกลับเชียงใหม่,
ทหารพรานชุดปฏิบัติการจรยุทธ์ ปะทะโจรใต้คาดเป็นกลุ่มยิง “ร.ต.อ.อำมฤต” เสียชีวิต,https://www.thairath.co.th/news/crime/2853866,2025-04-20T19:59:37.002097,N/A,พ.อ.ปัญจพล ทรัพย์บวร ผบ.ฉก.ทพ.48 เปิดแผนยุทธการเชิงรุก ส่งเจ้าหน้าที่ชุดปฏิบัติการจรยุทธ์ กดดันไล่ล่าจำกัดเสรีภาพสมาชิกผู้ก่อเหตุรุนแรง คาดมีส่วนเกี่ยวข้องกับเหตุการณ์ใช้อาวุธปืนยิง ร.ต.อ.อำมฤต เสียชีวิต,
จ่าทหารหึงโหดจ่อยิงเมียดับ หลังมีปากเสียงทะเลาะกันอย่างรุนแรง อ้างปมจับได้มีกิ๊ก,https://www.thairath.co.th/news/crime/2853862,2025-04-20T19:59:37.452649,N/A,ราชบุรี จ่าทหารก่อเหตุสะเทือนขวัญ จ่อยิงภรรยาเสียชีวิต หลังมีปากเสียงทะเลาะกันอย่างรุนแรง เนื่องจากที่ผ่านมานั้น ฝ่ายชายอ้างว่าจับได้ว่าภรรยาแอบมีกิ๊ก หลังก่อเหตุได้หลบหนีไป ก่อนสำนึกผิดติดต่อเข้ามอบตัว,
ฉุนมือถือหาย ชนวนฆ่า 2 ศพ เจ้าของร้าน-พนักงาน คนยิงมอบตัว,https://www.thairath.co.th/news/crime/2853857,2025-04-20T19:59:37.886008,N/A,หนุ่มใหญ่หัวร้อนยิงเจ้าของร้านอาหารและลูกน้องดับ 2 ศพ หลังเข้ามานั่งก๊งเหล้าจนร้านปิด กลับบ้านวนไปที่ร้านอีกรอบเพราะลืมโทรศัพท์มือถือ เจ้าของร้านถามลูกน้องไม่มีใครเห็นกลับไม่พอใจโต้เถียงมีเรื่องชกต่อยกัน ชักปืน 9 มม.กระหน่ำยิงแล้วเผ่นหนี ต่อมาติดต่อขอมอบตัวปมเหตุบันดาลโทสะ,
แถลงจับกรรมการไชน่า เรลเวย์ No.10 ข้อหานอมินี เร่งล่าตัวอีก 3 คนไทย,https://www.thairath.co.th/news/crime/2853825,2025-04-20T19:59:38.240440,N/A,รมว.ยุติธรรม พร้อมด้วยอธิบดี DSI แถลงจับกุมกรรมการไชน่า เรลเวย์ No.10 ในข้อหานอมินี พร้อมเร่งติดตามตัวอีก 3 คนไทย ปมตึก สตง.ถล่ม หลังพบหลักฐานที่เชื่อได้ว่าคนไทยถือหุ้นแทนคนต่างด้าว,
พนักงานส่งของระทึก สินค้าระเบิด ไฟลุกไหม้ระหว่างส่งของให้ลูกค้า,https://www.thairath.co.th/news/society/2853821,2025-04-20T19:59:38.679643,N/A,เตือนภัยอากาศร้อน พนักงานส่งของระทึก เผยคลิปสินค้าระเบิด ไฟลุกไหม้ระหว่างส่งของให้ลูกค้า โชคดีไม่มีผู้ได้รับบาดเจ็บ,
ด่วน DSI เผยจับกรรมการไชน่า เรลเวย์ No.10 ข้อหานอมินีแล้ว,https://www.thairath.co.th/news/society/2853817,2025-04-20T19:59:39.123771,N/A,ด่วน DSI เผยจับกรรมการไชน่า เรลเวย์ No.10 ข้อหานอมินีแล้ว กำลังนำตัวมาที่กรมสอบสวนคดีพิเศษ คาดเตรียมแถลงเย็นนี้,
"ชาวบ้านฮือฮา ปรากฏการณ์ ""เสาแห่งแสง"" โผล่บนท้องฟ้า จ.ภูเก็ต",https://www.thairath.co.th/news/society/2853792,2025-04-20T19:59:39.536015,N/A,"โซเชียลแชร์สนั่น พบแสงประหลาดบนท้องฟ้าของ จ.ภูเก็ต ด้าน อ.เจษฎ์ ระบุเป็น ""เสาแห่งแสง"" ปรากฏการณ์ธรรมชาติพบไม่ค่อยบ่อย ยันไม่ใช่ยูเอฟโอ หรือ ฝนดาวตก",
อาลัย นายทหารยศพันเอก 1 ในทีมค้นหาผู้สูญหายตึก สตง. ประสบอุบัติเหตุเสียชีวิต,https://www.thairath.co.th/news/society/2853730,2025-04-20T19:59:39.983613,N/A,ข่าวเศร้า พ.อ.พิฆราช สุริยะ สังกัด มทบ.11 เป็น 1 ใน นายทหารจิตอาสาที่มาร่วมปฏิบัติการช่วยเหลือเหตุอาคาร สตง.ถล่ม ประสบอุบัติเหตุเสียชีวิต,
ข่าวยานยนต์,https://www.thairath.co.th/news/auto,2025-04-20T19:59:43.096151,N/A,N/A,
